NAME,PctUnder5,MoE
Census Tract 1.01,5.90%,± 4.7%
Census Tract 1.02,4%,± 2.4%
Census Tract 1.03,4.80%,± 1.8%
Census Tract 1.04,13.20%,± 6.5%
Census Tract 1.05,2.70%,± 2.8%
Census Tract 10,3.60%,± 1.9%
Census Tract 101.01,7%,± 1.7%
Census Tract 101.02,8.30%,± 2.8%
Census Tract 102,4.20%,± 1.6%
Census Tract 103,3.20%,± 1.7%
Census Tract 104,5%,± 2.6%
Census Tract 105,8%,± 2.6%
Census Tract 106,7%,± 2.5%
Census Tract 11.01,1.90%,± 2.1%
Census Tract 11.02,0%,± 0.6%
Census Tract 12,0%,± 4.7%
Census Tract 13.02,2.20%,± 1.4%
Census Tract 13.03,3.90%,± 2.5%
Census Tract 13.04,4.40%,± 1.8%
Census Tract 2,8.40%,± 2.5%
Census Tract 3,8.80%,± 3.4%
Census Tract 4,6%,± 2.7%
Census Tract 5,2.20%,± 1.6%
Census Tract 6,2.50%,± 1.7%
Census Tract 7,1.80%,± 1.3%
Census Tract 8,0%,± 0.5%
Census Tract 9,3.60%,± 2.4%
